,use,var,jllable,localminute,
0,1.462201389,1.461387192,0,2018/7/1 6:29,7
1,3.036240278,7.71115027,1,2018/7/2 6:29,1
2,1.929195833,3.153904554,0,2018/7/3 6:29,2
3,1.669391667,1.678507176,0,2018/7/4 6:29,3
4,1.784854861,2.590020364,0,2018/7/5 6:29,4
5,1.798988194,3.734007425,1,2018/7/6 6:29,5
6,1.97508125,2.57076654,0,2018/7/7 6:29,6
7,1.498371528,2.368100254,0,2018/7/8 6:29,7
8,2.481338889,6.199988333,1,2018/7/9 6:29,1
9,1.002190278,1.71981771,0,2018/7/10 6:29,2
10,1.559563194,3.015578546,0,2018/7/11 6:29,3
11,1.925825,4.947222716,1,2018/7/12 6:29,4
12,1.855525694,2.406856321,0,2018/7/13 6:29,5
13,1.713186806,2.440372597,0,2018/7/14 6:29,6
14,2.084840278,2.533077489,0,2018/7/15 6:29,7
15,2.182764583,3.818292508,1,2018/7/16 6:29,1
16,1.912584722,3.252636261,0,2018/7/17 6:29,2
17,1.896191667,3.856637186,1,2018/7/18 6:29,3
18,2.050092361,3.075844071,0,2018/7/19 6:29,4
19,2.477796528,4.443602342,1,2018/7/20 6:29,5
20,2.003835417,2.56346763,0,2018/7/21 6:29,6
21,1.896760417,1.636685102,0,2018/7/22 6:29,7
22,2.581375,4.367897756,1,2018/7/23 6:29,1
23,2.011394444,1.929860696,0,2018/7/24 6:29,2
24,1.761604167,1.788238637,0,2018/7/25 6:29,3
25,1.754552083,1.838289577,0,2018/7/26 6:29,4
26,1.64691875,1.619275974,0,2018/7/27 6:29,5
27,1.692745833,1.734864349,0,2018/7/28 6:29,6
28,1.924534722,1.619503275,0,2018/7/29 6:29,7
29,2.541315278,3.584933121,1,2018/7/30 6:29,1
30,1.758197917,1.618469917,0,2018/7/31 6:29,2
