,use,var,jllable,localminute,
0,1.263576389,0.597329856,0,2018/1/1 23:59,1
1,1.264067361,0.746128278,0,2018/1/2 23:59,2
2,1.023898611,0.288973405,0,2018/1/3 23:59,3
3,1.513125,1.541594563,0,2018/1/4 23:59,4
4,0.980954861,0.180836728,0,2018/1/5 23:59,5
5,0.958413194,0.160596402,0,2018/1/6 23:59,6
6,1.390391667,1.316998508,0,2018/1/7 23:59,7
7,1.282765972,1.15962986,0,2018/1/8 23:59,1
8,1.029486806,0.423199104,0,2018/1/9 23:59,2
9,0.85045,0.120194357,0,2018/1/10 23:59,3
10,0.993422917,0.518609659,0,2018/1/11 23:59,4
11,1.429213194,1.215007528,0,2018/1/12 23:59,5
12,1.108777083,0.43249459,0,2018/1/13 23:59,6
13,1.250023611,1.388413333,0,2018/1/14 23:59,7
14,0.960716667,0.28259999,0,2018/1/15 23:59,1
15,1.6638,1.284316208,0,2018/1/16 23:59,2
16,1.013409028,0.146590642,0,2018/1/17 23:59,3
17,1.111934722,0.857093723,0,2018/1/18 23:59,4
18,1.123550694,0.834060505,0,2018/1/19 23:59,5
19,1.215602778,0.795616544,0,2018/1/20 23:59,6
20,1.659827778,2.011072719,1,2018/1/21 23:59,7
21,0.9224625,0.449109677,0,2018/1/22 23:59,1
22,1.203489583,1.306903701,0,2018/1/23 23:59,2
23,1.189283333,0.918488327,0,2018/1/24 23:59,3
24,1.052236806,0.656454868,0,2018/1/25 23:59,4
25,1.356402083,0.725782575,0,2018/1/26 23:59,5
26,1.105657639,0.575817863,0,2018/1/27 23:59,6
27,1.248272917,1.277854582,0,2018/1/28 23:59,7
28,1.090213194,1.190913217,0,2018/1/29 23:59,1
29,0.898195139,0.098825101,0,2018/1/30 23:59,2
30,1.288369444,1.273271038,0,2018/1/31 23:59,3
31,0.971669444,0.57619457,0,2018/2/1 23:59,4
32,1.269957639,1.247877696,0,2018/2/2 23:59,5
33,1.314942361,1.385191465,0,2018/2/3 23:59,6
34,1.805219444,2.592311343,1,2018/2/4 23:59,7
35,1.280122222,1.22094179,0,2018/2/5 23:59,1
36,1.126041667,0.782888757,0,2018/2/6 23:59,2
