,use,var,jllable,localminute,
0,1.0442,1.191646842,1,2018/6/1 6:29,5
1,1.38505,1.434089921,1,2018/6/2 6:29,6
2,1.230458333,1.405046599,1,2018/6/3 6:29,7
3,1.822074306,2.703124604,1,2018/6/4 6:29,1
4,1.082532639,2.094256926,1,2018/6/5 6:29,2
5,1.584086806,2.995798364,1,2018/6/6 6:29,3
6,1.464661111,1.729094872,1,2018/6/7 6:29,4
7,1.455202083,1.616917302,1,2018/6/8 6:29,5
8,1.377517361,1.507625752,1,2018/6/9 6:29,6
9,1.984840278,3.502985663,0,2018/6/10 6:29,7
10,2.0911125,2.624420711,1,2018/6/11 6:29,1
11,1.446463889,1.606643415,1,2018/6/12 6:29,2
12,1.80069375,4.456556224,0,2018/6/13 6:29,3
13,1.415813889,1.694265514,1,2018/6/14 6:29,4
14,1.611921528,2.465262489,1,2018/6/15 6:29,5
15,2.431029167,3.696895563,0,2018/6/16 6:29,6
16,1.454719444,1.694130736,1,2018/6/17 6:29,7
17,1.513064583,1.602127949,1,2018/6/18 6:29,1
18,1.643875,4.710990982,0,2018/6/19 6:29,2
19,0.846372917,1.354405106,1,2018/6/20 6:29,3
20,1.281992361,3.525362465,0,2018/6/21 6:29,4
21,1.577809028,2.555319775,1,2018/6/22 6:29,5
22,1.781786806,2.642809557,1,2018/6/23 6:29,6
23,1.947066667,2.645847725,1,2018/6/24 6:29,7
24,1.829059722,2.800737813,1,2018/6/25 6:29,1
25,1.757868056,2.302234416,1,2018/6/26 6:29,2
26,1.379660417,1.816742362,1,2018/6/27 6:29,3
27,1.757506944,3.175223558,0,2018/6/28 6:29,4
28,1.595416667,1.746328138,1,2018/6/29 6:29,5
29,2.041782639,3.064292121,0,2018/6/30 6:29,6
30,1.462201389,1.461387192,1,2018/7/1 6:29,7
31,3.036240278,7.71115027,0,2018/7/2 6:29,1
32,1.929195833,3.153904554,0,2018/7/3 6:29,2
33,1.669391667,1.678507176,1,2018/7/4 6:29,3
34,1.784854861,2.590020364,1,2018/7/5 6:29,4
35,1.798988194,3.734007425,0,2018/7/6 6:29,5
36,1.97508125,2.57076654,1,2018/7/7 6:29,6
37,1.498371528,2.368100254,1,2018/7/8 6:29,7
38,2.481338889,6.199988333,0,2018/7/9 6:29,1
39,1.002190278,1.71981771,1,2018/7/10 6:29,2
40,1.559563194,3.015578546,1,2018/7/11 6:29,3
41,1.925825,4.947222716,0,2018/7/12 6:29,4
42,1.855525694,2.406856321,1,2018/7/13 6:29,5
43,1.713186806,2.440372597,1,2018/7/14 6:29,6
44,2.084840278,2.533077489,1,2018/7/15 6:29,7
45,2.182764583,3.818292508,0,2018/7/16 6:29,1
46,1.912584722,3.252636261,0,2018/7/17 6:29,2
47,1.896191667,3.856637186,0,2018/7/18 6:29,3
48,2.050092361,3.075844071,0,2018/7/19 6:29,4
49,2.477796528,4.443602342,0,2018/7/20 6:29,5
50,2.003835417,2.56346763,1,2018/7/21 6:29,6
51,1.896760417,1.636685102,1,2018/7/22 6:29,7
52,2.581375,4.367897756,0,2018/7/23 6:29,1
53,2.011394444,1.929860696,1,2018/7/24 6:29,2
54,1.761604167,1.788238637,1,2018/7/25 6:29,3
55,1.754552083,1.838289577,1,2018/7/26 6:29,4
56,1.64691875,1.619275974,1,2018/7/27 6:29,5
57,1.692745833,1.734864349,1,2018/7/28 6:29,6
58,1.924534722,1.619503275,1,2018/7/29 6:29,7
59,2.541315278,3.584933121,0,2018/7/30 6:29,1
60,1.758197917,1.618469917,1,2018/7/31 6:29,2
61,1.443223611,1.726307635,1,2018/8/1 6:29,3
62,1.535501389,1.907601112,1,2018/8/2 6:29,4
63,1.628095139,1.49805743,1,2018/8/3 6:29,5
64,2.372148611,3.279525658,0,2018/8/4 6:30,6
65,2.263806944,2.708414521,1,2018/8/5 6:30,7
66,2.140057639,1.803783351,1,2018/8/6 6:30,1
67,2.140723611,3.071998991,0,2018/8/7 6:30,2
68,1.852079167,2.726080643,1,2018/8/8 6:31,3
69,1.90898125,2.566285162,1,2018/8/9 6:31,4
70,2.028682639,2.162115814,1,2018/8/10 6:31,5
71,1.888460417,1.48603112,1,2018/8/11 6:31,6
72,2.428272917,3.253969455,0,2018/8/12 6:31,7
73,1.669223611,2.945392932,1,2018/8/13 6:31,1
74,2.344977083,2.426202526,1,2018/8/14 6:31,2
75,1.551127778,2.035728736,1,2018/8/15 6:31,3
76,1.64296875,2.195893596,1,2018/8/16 6:31,4
77,1.867034028,1.665201056,1,2018/8/17 6:31,5
78,2.018572917,2.54524618,1,2018/8/18 6:31,6
79,2.307281944,2.695218174,1,2018/8/19 6:31,7
80,2.105841667,1.820643766,1,2018/8/20 6:31,1
81,2.155889583,1.980100676,1,2018/8/21 6:31,2
82,2.461414583,2.473358045,1,2018/8/22 6:31,3
83,2.690614583,2.475233777,1,2018/8/23 6:31,4
84,2.060620139,1.913034941,1,2018/8/24 6:31,5
85,2.06694375,2.102168695,1,2018/8/25 6:31,6
86,2.362879167,3.159276058,0,2018/8/26 6:31,7
87,2.264831944,2.371274925,1,2018/8/27 6:31,1
88,2.567213889,1.85038298,1,2018/8/28 6:31,2
89,2.25290625,1.954955302,1,2018/8/29 6:31,3
90,2.485398611,1.964975139,1,2018/8/30 6:31,4
91,2.141229861,1.40119039,1,2018/8/31 6:31,5
