,use,var,jllable,localminute,
0,1.443223611,1.726307635,0,2018/8/1 6:29,3
1,1.535501389,1.907601112,0,2018/8/2 6:29,4
2,1.628095139,1.49805743,0,2018/8/3 6:29,5
3,2.372148611,3.279525658,1,2018/8/4 6:30,6
4,2.263806944,2.708414521,1,2018/8/5 6:30,7
5,2.140057639,1.803783351,0,2018/8/6 6:30,1
6,2.140723611,3.071998991,1,2018/8/7 6:30,2
7,1.852079167,2.726080643,1,2018/8/8 6:31,3
8,1.90898125,2.566285162,1,2018/8/9 6:31,4
9,2.028682639,2.162115814,0,2018/8/10 6:31,5
10,1.888460417,1.48603112,0,2018/8/11 6:31,6
11,2.428272917,3.253969455,1,2018/8/12 6:31,7
12,1.669223611,2.945392932,1,2018/8/13 6:31,1
13,2.344977083,2.426202526,1,2018/8/14 6:31,2
14,1.551127778,2.035728736,0,2018/8/15 6:31,3
15,1.64296875,2.195893596,0,2018/8/16 6:31,4
16,1.867034028,1.665201056,0,2018/8/17 6:31,5
17,2.018572917,2.54524618,1,2018/8/18 6:31,6
18,2.307281944,2.695218174,1,2018/8/19 6:31,7
19,2.105841667,1.820643766,0,2018/8/20 6:31,1
20,2.155889583,1.980100676,0,2018/8/21 6:31,2
21,2.461414583,2.473358045,1,2018/8/22 6:31,3
22,2.690614583,2.475233777,1,2018/8/23 6:31,4
23,2.060620139,1.913034941,0,2018/8/24 6:31,5
24,2.06694375,2.102168695,0,2018/8/25 6:31,6
25,2.362879167,3.159276058,1,2018/8/26 6:31,7
26,2.264831944,2.371274925,1,2018/8/27 6:31,1
27,2.567213889,1.85038298,0,2018/8/28 6:31,2
28,2.25290625,1.954955302,0,2018/8/29 6:31,3
29,2.485398611,1.964975139,0,2018/8/30 6:31,4
30,2.141229861,1.40119039,0,2018/8/31 6:31,5
