,use,var,jllable,localminute,
0,2.30621875,2.535034006,0,2018/9/1 6:31,6
1,1.590646528,2.332416583,0,2018/9/2 6:31,7
2,1.239082639,0.804955284,1,2018/9/3 6:31,1
3,1.441575694,0.869611329,1,2018/9/4 6:31,2
4,1.532135417,1.109059997,1,2018/9/5 6:31,3
5,2.061484722,2.009823832,0,2018/9/6 6:31,4
6,1.852560417,1.540689925,0,2018/9/7 6:31,5
7,1.897252083,1.098684525,1,2018/9/8 6:31,6
8,1.70971875,1.165978094,1,2018/9/9 6:31,7
9,2.202558333,3.559059851,0,2018/9/10 6:31,1
10,1.261241667,0.874908133,1,2018/9/11 6:31,2
11,1.596554167,1.785677467,0,2018/9/12 6:31,3
12,1.517974306,1.541543274,0,2018/9/13 6:31,4
13,1.747470833,1.525048444,0,2018/9/14 6:31,5
14,1.37423125,1.072563147,1,2018/9/15 6:31,6
15,1.895206944,1.85571358,0,2018/9/16 6:31,7
16,2.111211806,2.940777871,0,2018/9/17 6:31,1
17,1.636857639,1.459619091,0,2018/9/18 6:31,2
18,1.753856944,1.530746758,0,2018/9/19 6:31,3
19,1.485666667,0.931800376,1,2018/9/20 6:31,4
20,1.844204167,1.831831169,0,2018/9/21 6:31,5
21,2.388139583,3.011071095,0,2018/9/22 6:31,6
22,1.421604167,0.893777415,1,2018/9/23 6:31,7
23,1.903122222,1.959865268,0,2018/9/24 6:31,1
24,1.569001389,1.411477839,1,2018/9/25 6:31,2
25,1.814269444,1.782535745,0,2018/9/26 6:31,3
26,1.456669444,1.220478229,1,2018/9/27 6:31,4
27,1.057638889,0.58337331,1,2018/9/28 6:31,5
28,2.003431944,1.742157662,0,2018/9/29 6:31,6
29,1.770121528,1.490674889,0,2018/9/30 6:31,7
30,2.019647917,3.112425647,0,2018/10/1 6:31,1
31,1.707180556,1.949802586,0,2018/10/2 6:31,2
32,1.589704861,1.387644128,1,2018/10/3 6:31,3
33,1.661331944,1.570262012,0,2018/10/4 6:31,4
34,1.72688125,1.382903001,0,2018/10/5 6:31,5
35,1.926840278,1.156506969,1,2018/10/6 6:31,6
36,1.793052083,1.109829519,1,2018/10/7 6:31,7
37,2.18494375,3.143284505,0,2018/10/8 6:31,1
38,1.944146528,1.947288273,0,2018/10/9 6:31,2
39,1.249393056,0.746819802,1,2018/10/10 6:31,3
40,1.287215972,0.975634266,1,2018/10/11 6:31,4
41,0.987049306,0.358500118,1,2018/10/12 6:31,5
42,1.429561806,1.293253722,1,2018/10/13 6:31,6
43,1.575069444,1.005955967,1,2018/10/14 6:31,7
44,1.937691667,2.668273584,0,2018/10/15 6:31,1
45,0.820828472,0.082823431,1,2018/10/16 6:31,2
46,0.992990972,0.569418183,1,2018/10/17 6:31,3
47,0.990401389,0.193080142,1,2018/10/18 6:31,4
48,0.865438194,0.124430428,1,2018/10/19 6:31,5
49,1.546836806,1.634878631,0,2018/10/20 6:31,6
50,0.942708333,0.78455603,1,2018/10/21 6:31,7
51,0.858243056,0.236621767,1,2018/10/22 6:31,1
52,1.096628472,0.49276638,1,2018/10/23 6:31,2
53,1.201338194,0.634960888,1,2018/10/24 6:31,3
54,0.957057639,0.089328619,1,2018/10/25 6:31,4
55,0.897845833,0.057252421,1,2018/10/26 6:31,5
56,1.342002083,1.249333868,1,2018/10/27 6:31,6
57,1.278624306,0.601200997,1,2018/10/28 6:31,7
58,2.047429167,3.003384321,0,2018/10/29 6:31,1
59,1.357343056,0.588268129,1,2018/10/30 6:31,2
60,1.6350125,1.265279328,1,2018/10/31 6:31,3
61,1.312422917,0.838572181,1,2018/11/1 6:31,4
62,1.331134028,1.053867165,1,2018/11/2 6:31,5
63,1.117129167,0.499105521,1,2018/11/3 6:31,6
64,1.016150694,0.173231444,1,2018/11/4 6:31,7
65,1.34754375,1.710500199,0,2018/11/5 6:31,1
66,1.741840278,1.518313412,0,2018/11/6 6:31,2
67,1.148250694,0.746682084,1,2018/11/7 6:31,3
68,1.289214583,1.225557574,1,2018/11/8 6:31,4
69,1.341073611,1.282776103,1,2018/11/9 6:31,5
70,1.29086875,0.761508801,1,2018/11/10 6:31,6
71,2.159794444,2.918165418,0,2018/11/11 6:31,7
72,1.484071528,1.249194608,1,2018/11/12 6:31,1
73,1.247797222,1.039289226,1,2018/11/13 6:31,2
74,1.285870139,1.123758598,1,2018/11/14 6:31,3
75,1.233927778,1.156816443,1,2018/11/15 6:31,4
76,1.091363194,0.888372415,1,2018/11/16 6:31,5
77,1.20060625,1.128925398,1,2018/11/17 9:37,6
78,1.250627083,0.963907679,1,2018/11/18 9:37,7
79,1.964688889,3.631098903,0,2018/11/19 9:37,1
80,1.385922222,1.351755295,1,2018/11/20 9:37,2
81,1.154704167,0.816087928,1,2018/11/21 9:37,3
82,0.738511806,0.025493415,1,2018/11/22 9:37,4
83,0.718845139,0.006561212,1,2018/11/23 9:37,5
84,0.691297222,0.026956965,1,2018/11/24 9:37,6
85,0.783360417,0.030260794,1,2018/11/25 9:37,7
86,1.763066667,2.402749761,0,2018/11/26 9:37,1
87,1.189699306,0.520206883,1,2018/11/27 9:37,2
88,0.956459722,0.308543838,1,2018/11/28 9:37,3
89,1.791834722,1.598138294,0,2018/11/29 9:37,4
90,0.933503472,0.213237128,1,2018/11/30 9:37,5
