,use,var,jllable,localminute,
0,0.38520625,0.106049959,0,2018/3/1 0:27,4
1,0.615204861,0.601817612,0,2018/3/2 0:27,5
2,0.841242361,0.839703749,0,2018/3/3 0:27,6
3,0.548049306,0.327991828,0,2018/3/4 0:27,7
4,0.850178472,1.55211462,0,2018/3/5 0:27,1
5,0.634842361,0.898945299,0,2018/3/6 0:27,2
6,0.572121528,0.66531564,0,2018/3/7 0:27,3
7,0.671157639,0.913522974,0,2018/3/8 0:27,4
8,1.214311111,0.876933381,0,2018/3/9 0:27,5
9,0.907161806,0.47151209,0,2018/3/10 0:27,6
10,0.7085625,0.755935327,0,2018/3/11 0:27,7
11,1.302522222,1.887026152,0,2018/3/12 1:27,1
12,1.09935625,0.731236894,0,2018/3/13 1:27,2
13,0.79175,0.043954655,0,2018/3/14 1:27,3
14,0.827629167,0.105230262,0,2018/3/15 1:27,4
15,0.775983333,0.04821888,0,2018/3/16 1:27,5
16,0.631411111,0.081365908,0,2018/3/17 1:29,6
17,0.395109028,0.073430011,0,2018/3/18 1:29,7
18,1.016525,1.683853763,0,2018/3/19 1:29,1
19,0.50063125,0.263038445,0,2018/3/20 1:29,2
20,0.834127778,1.42844628,0,2018/3/21 1:29,3
21,0.604088889,0.951686994,0,2018/3/22 1:29,4
22,0.540659722,0.535496697,0,2018/3/23 1:29,5
23,0.2974375,0.021602429,0,2018/3/24 1:29,6
24,0.7327375,0.865809171,0,2018/3/25 1:29,7
25,1.173404167,2.63174993,1,2018/3/26 1:29,1
26,0.659806944,0.771769405,0,2018/3/27 1:29,2
27,0.730722222,1.114957985,0,2018/3/28 1:29,3
28,0.515159722,0.454202346,0,2018/3/29 1:29,4
29,1.032367361,1.349391321,0,2018/3/30 1:29,5
30,0.738615972,1.037033378,0,2018/3/31 1:29,6
31,0.505811806,0.510790694,0,2018/4/1 1:29,7
32,1.202151389,2.573188687,1,2018/4/2 1:29,1
33,0.464067361,0.281648137,0,2018/4/3 1:29,2
34,0.702454167,0.745123348,0,2018/4/4 1:29,3
35,0.563127083,0.691497698,0,2018/4/5 1:29,4
36,0.638858333,0.625853331,0,2018/4/6 1:29,5
37,0.890304861,0.978622017,0,2018/4/7 1:29,6
38,1.058082639,1.000629977,0,2018/4/8 1:29,7
39,0.961871528,1.84546347,0,2018/4/9 1:29,1
40,0.857721528,1.634875168,0,2018/4/10 1:29,2
41,0.946330556,1.237795635,0,2018/4/11 1:29,3
42,0.675756944,0.52331797,0,2018/4/12 1:29,4
43,0.918038194,0.976041288,0,2018/4/13 1:29,5
44,0.906229861,0.984073829,0,2018/4/14 1:29,6
45,0.744299306,0.548969575,0,2018/4/15 1:29,7
46,0.9364875,1.547292051,0,2018/4/16 1:29,1
47,0.701354167,0.746161157,0,2018/4/17 1:29,2
48,0.681575,0.541700469,0,2018/4/18 1:29,3
49,1.163814583,1.549674593,0,2018/4/19 1:29,4
50,0.74919375,0.913130047,0,2018/4/20 1:29,5
51,0.707940278,0.505587393,0,2018/4/21 1:29,6
52,0.739126389,1.329479163,0,2018/4/22 1:29,7
53,0.862457639,1.43132918,0,2018/4/23 1:29,1
54,0.526110417,0.326372973,0,2018/4/24 1:29,2
55,0.971196528,1.523575845,0,2018/4/25 1:29,3
56,0.851354861,1.238178399,0,2018/4/26 1:29,4
57,0.975138194,1.5335796,0,2018/4/27 1:29,5
58,0.644819444,0.951612808,0,2018/4/28 1:29,6
59,0.718929861,0.89163891,0,2018/4/29 1:29,7
60,0.886080556,1.881580153,0,2018/4/30 1:29,1
61,0.430563889,0.195472145,0,2018/5/1 1:29,2
62,0.3971375,0.186014628,0,2018/5/2 1:29,3
63,1.249109722,2.180172733,1,2018/5/3 1:29,4
64,1.28464375,1.201828409,0,2018/5/4 1:29,5
65,0.882544444,0.653419516,0,2018/5/5 1:29,6
66,0.6394375,0.454343355,0,2018/5/6 1:29,7
67,1.558940278,3.125993441,1,2018/5/7 1:29,1
68,0.805972222,0.884871738,0,2018/5/8 1:29,2
69,0.936452083,1.616076999,0,2018/5/9 1:29,3
70,0.658611111,0.631898232,0,2018/5/10 1:29,4
71,0.704555556,0.741865085,0,2018/5/11 1:29,5
72,1.917042361,3.36732606,1,2018/5/12 1:29,6
73,1.220160417,1.91335249,0,2018/5/13 1:29,7
74,1.216972917,1.790541048,0,2018/5/14 1:29,1
75,1.454233333,4.306505283,1,2018/5/15 1:29,2
76,0.907429861,1.162773731,0,2018/5/16 1:29,3
77,1.226152778,2.375444938,1,2018/5/17 1:29,4
78,1.213695139,1.49414028,0,2018/5/18 1:29,5
79,1.129193056,1.402329254,0,2018/5/19 1:29,6
80,1.535002778,2.110922162,1,2018/5/20 1:29,7
81,1.917706944,5.268418306,1,2018/5/21 1:29,1
82,0.895869444,1.251105987,0,2018/5/22 1:29,2
83,0.855484722,0.935488218,0,2018/5/23 1:29,3
84,1.40238125,3.266558567,1,2018/5/24 1:29,4
85,1.135161806,1.295795714,0,2018/5/25 1:29,5
86,1.627309028,3.253759526,1,2018/5/26 1:29,6
87,1.704963889,2.031829572,1,2018/5/27 1:29,7
88,1.786070139,2.201431605,1,2018/5/28 1:29,1
89,1.706711111,2.778288891,1,2018/5/29 1:29,2
90,1.682322917,3.971111503,1,2018/5/30 1:29,3
91,1.468345139,2.767524384,1,2018/5/31 1:29,4
